,pid,dayofstudy,loyalty,regularity,duration,duration_mean,duration_std,duration_min,duration_max,betweenlaunch_duration_mean,betweenlaunch_duration_std
40,1000,9.0,3,2,0,0.0,0.0,0,0,13140.0,2036.0
41,1000,14.0,3,1,14,5.0,7.0,0,13,420.0,509.0
42,1005,7.0,8,3,260,32.0,49.0,0,125,5983.0,8018.0
43,1005,8.0,4,1,150,38.0,49.0,0,102,80.0,69.0
44,1005,9.0,3,3,190,63.0,110.0,0,190,21570.0,42.0
45,1005,6.0,1,1,68,68.0,0.0,68,68,-1.0,-1.0
46,1005,10.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
47,1005,17.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
48,1005,19.0,1,1,22,22.0,0.0,22,22,-1.0,-1.0
49,1013,10.0,5,2,269,54.0,49.0,0,94,4170.0,7940.0
50,1013,17.0,5,2,242,48.0,74.0,0,169,5460.0,6166.0
51,1013,9.0,4,2,317,79.0,72.0,4,159,5860.0,8966.0
52,1013,16.0,3,2,240,80.0,13.0,66,91,26490.0,35765.0
53,1013,11.0,2,1,140,70.0,99.0,0,140,2640.0,-1.0
54,1013,12.0,2,1,49,24.0,35.0,0,49,120.0,-1.0
55,1013,28.0,1,1,137,137.0,0.0,137,137,-1.0,-1.0
56,1014,27.0,20,3,786,39.0,43.0,0,127,3294.0,10412.0
57,1014,17.0,19,2,666,35.0,48.0,0,147,4663.0,13040.0
58,1014,45.0,19,2,642,34.0,44.0,0,136,2917.0,11448.0
59,1014,23.0,17,4,634,37.0,51.0,0,177,5258.0,10679.0
60,1014,32.0,17,4,751,44.0,60.0,0,142,4118.0,9962.0
61,1014,28.0,15,3,469,31.0,32.0,0,85,5593.0,14825.0
62,1014,29.0,14,3,203,14.0,39.0,0,145,6180.0,15418.0
63,1014,36.0,13,3,679,52.0,59.0,0,169,6560.0,12196.0
64,1014,10.0,12,2,495,41.0,38.0,0,127,5024.0,12904.0
65,1014,22.0,12,2,465,39.0,41.0,0,128,5967.0,18338.0
66,1014,38.0,12,2,579,48.0,52.0,0,164,1865.0,3251.0
67,1014,15.0,11,2,483,44.0,53.0,0,162,6504.0,15757.0
68,1014,19.0,11,3,240,22.0,24.0,2,74,6876.0,19468.0
69,1014,25.0,11,4,498,45.0,50.0,0,166,7986.0,13124.0
70,1014,30.0,11,3,184,17.0,33.0,0,93,8004.0,13065.0
71,1014,31.0,11,3,383,35.0,54.0,0,135,7560.0,12883.0
72,1014,9.0,10,3,592,59.0,39.0,0,111,6280.0,13185.0
73,1014,34.0,10,3,208,21.0,44.0,0,124,8300.0,13929.0
74,1014,8.0,9,2,362,40.0,44.0,0,116,9068.0,24679.0
75,1014,14.0,9,3,275,31.0,35.0,3,100,8205.0,17671.0
76,1014,41.0,9,3,516,57.0,61.0,3,185,9375.0,21628.0
77,1014,16.0,8,3,287,36.0,26.0,0,82,7937.0,14402.0
78,1014,20.0,8,3,126,16.0,14.0,0,35,10011.0,17416.0
79,1014,21.0,8,3,396,50.0,54.0,0,134,10851.0,14381.0
80,1014,24.0,8,2,317,40.0,63.0,0,185,12043.0,28067.0
81,1014,33.0,8,3,246,31.0,53.0,0,138,11014.0,20363.0
82,1014,39.0,8,2,299,37.0,57.0,0,155,969.0,1121.0
83,1014,7.0,7,1,394,56.0,72.0,0,185,350.0,369.0
84,1014,35.0,7,3,92,13.0,22.0,0,57,11880.0,20753.0
85,1014,1.0,6,2,439,73.0,56.0,0,138,12900.0,28476.0
86,1014,12.0,6,3,204,34.0,67.0,0,170,13740.0,23840.0
87,1014,26.0,6,2,152,25.0,27.0,0,64,11172.0,14385.0
88,1014,6.0,5,2,326,65.0,81.0,0,177,1545.0,2181.0
89,1014,13.0,5,2,16,3.0,4.0,0,9,13230.0,25274.0
90,1014,18.0,5,2,351,70.0,55.0,5,133,15105.0,29218.0
91,1014,37.0,5,3,0,0.0,0.0,0,0,15630.0,15105.0
92,1014,42.0,5,2,223,45.0,45.0,0,93,16245.0,26229.0
93,1014,2.0,4,2,394,98.0,89.0,13,180,24480.0,36548.0
