,pid,package,weekofstudy,loyalty,regularity,duration,duration_mean,duration_std,duration_min,duration_max,betweenlaunch_duration_mean,betweenlaunch_duration_std
65,1014,aspire,4,7,4,437,62.0,62.0,0,166,56420.0,66477.0
66,1014,aspire,5,4,2,229,57.0,62.0,6,142,41720.0,41746.0
67,1014,aspire,6,4,3,433,108.0,74.0,3,164,167860.0,160328.0
68,1014,boostme,4,14,7,1018,73.0,56.0,2,185,40602.0,56777.0
69,1014,boostme,2,13,5,774,60.0,44.0,5,133,36740.0,55091.0
70,1014,boostme,3,11,7,710,65.0,61.0,2,162,56964.0,59631.0
71,1014,boostme,6,11,5,831,76.0,54.0,9,169,50274.0,68226.0
72,1014,boostme,5,4,3,307,77.0,56.0,2,135,149400.0,93806.0
73,1014,boostme,7,4,3,294,74.0,47.0,8,112,88260.0,41813.0
74,1014,boostme,1,2,2,362,181.0,6.0,177,185,82380.0,-1.0
75,1014,dailyfeats,3,27,7,876,32.0,33.0,0,99,22087.0,22135.0
76,1014,dailyfeats,2,19,7,646,34.0,52.0,0,170,29107.0,27048.0
77,1014,dailyfeats,4,19,8,663,35.0,30.0,0,85,32807.0,23987.0
78,1014,dailyfeats,1,18,8,1021,57.0,65.0,0,180,34486.0,37350.0
79,1014,dailyfeats,5,15,7,855,57.0,64.0,0,139,33219.0,24690.0
80,1014,dailyfeats,6,10,7,574,57.0,63.0,0,185,65767.0,53030.0
81,1014,dailyfeats,7,7,3,280,40.0,38.0,0,91,82640.0,102579.0
82,1014,mantra,4,8,6,90,11.0,19.0,1,59,75497.0,59684.0
83,1014,mantra,6,1,1,35,35.0,0.0,35,35,-1.0,-1.0
84,1014,mantra,7,1,1,3,3.0,0.0,3,3,-1.0,-1.0
85,1014,messages,5,40,8,522,13.0,35.0,0,145,15155.0,16391.0
86,1014,messages,6,19,7,291,15.0,27.0,0,93,29813.0,54359.0
87,1014,messages,7,7,2,305,44.0,52.0,0,136,36200.0,42291.0
88,1014,relax,1,5,3,77,15.0,15.0,0,35,60660.0,75258.0
89,1014,relax,3,5,4,106,21.0,23.0,0,51,126810.0,90885.0
90,1014,relax,2,3,3,101,34.0,35.0,9,74,175410.0,48239.0
91,1014,relax,4,1,1,13,13.0,0.0,13,13,-1.0,-1.0
92,1014,relax,5,1,1,24,24.0,0.0,24,24,-1.0,-1.0
93,1014,relax,7,1,1,4,4.0,0.0,4,4,-1.0,-1.0
94,1014,socialforce,4,14,7,202,14.0,22.0,0,69,40620.0,48197.0
95,1014,socialforce,5,2,2,6,3.0,0.0,3,3,46920.0,-1.0
96,1014,thoughtchallenger,4,21,6,484,23.0,27.0,2,118,29532.0,41357.0
97,1014,thoughtchallenger,2,18,6,556,31.0,33.0,0,116,32058.0,64250.0
98,1014,thoughtchallenger,3,14,6,287,20.0,18.0,0,55,34195.0,44253.0
99,1014,thoughtchallenger,5,11,5,121,11.0,9.0,2,32,36426.0,61793.0
100,1014,thoughtchallenger,6,7,5,156,22.0,16.0,3,49,84050.0,74494.0
101,1014,thoughtchallenger,7,6,2,28,5.0,2.0,2,8,43740.0,72628.0
102,1014,thoughtchallenger,1,3,2,189,63.0,56.0,20,126,41490.0,58591.0
103,1014,worryknot,3,13,3,570,44.0,59.0,0,147,22110.0,47414.0
